Luftdruck & Sichtweite;;;;;;;;;;;;;Korrekturen;;;;;;
;;;;;;;;;;;;;;;;;;;
Datum & Uhrzeit;;Temperatur;Luftdruck Wert 1 (obere Kante);Luftdruck Wert 2 (untere Kante);;Sichtweite;;;Gesamtkorrektur;Gesamtkorrektur ;;;Temperaturkorrekturwert;;Erdbeschleunigung (Kphi);Erdbeschleunigung (Kh);;Kapillardepression (Kk);
;;[┬░C];[Torr/mm Hg];[Torr/mm Hg];;[km];;;[Torr/mm Hg];[hPa];;;;;;;;(delta h);(Kk)
;;t;bt;bt;;;;;;;;;;;;;;;
18.11.2025 15:50;;17,5;753,9;752,7;;9,2;;;752,5209424;1003,361256;;;-2,414148299;;0,4474;-0,012309338;;1,2;0,6
19.11.2025 11:50;;17,5;745,5;744,8;;31;;;743,9529781;991,9373041;;;-2,38724971;;0,4424;-0,012172187;;0,7;0,41
20.11.2025 12:10;;17,5;750,2;749,4;;33;;;748,690651;998,2542013;;;-2,402300111;;0,4452;-0,012248926;;0,8;0,46
21.11.2025 11:30;;17,5;761;760;;37;;;759,5622907;1012,749721;;;-2,43688401;;0,4516;-0,012425264;;1;0,56
Wochenende;;;;;;;;;;;;;;;;;;;
Wochenende;;;;;;;;;;;;;;;;;;;
24.11.2025 13:00;;17;738,9;738,5;;13;;;737,2630968;983,0174624;;;-2,303337763;;0,4385;-0,012065453;;0,4;0,24
25.11.2025 13:50;;17;747,4;745,9;;5,7;;;746,2415613;994,9887485;;;-2,329834408;;0,4436;-0,012204249;;1,5;0,74
26.11.2025 14:00;;17;758,8;758,7;;9,4;;;757,1126385;1009,483518;;;-2,365371085;;0,4504;-0,012390399;;0,1;0,24
27.11.2025 13:55;;17;756,9;756,7;;5,7;;;755,2173923;1006,956523;;;-2,359448305;;0,4492;-0,012359374;;0,2;0,24
28.11.2025 13:30;;17;754;752,9;;9,5;;;752,6847797;1003,579706;;;-2,350408273;;0,4475;-0,01231202;;1,1;0,6
Wochenende;;;;;;;;;;;;;;;;;;;
Wochenende;;;;;;;;;;;;;;;;;;;
01.12.2025 12:15;;17,5;754,7;753,9;;37;;;753,1788675;1004,23849;;;-2,416710069;;0,4479;-0,0123224;;0,8;0,46
02.12.2025 14:00;;17;750,6;749,5;;37;;;749,2934339;999,0579118;;;-2,339809615;;0,4455;-0,012256502;;1,1;0,6
03.12.2025 10:00;;17;751,6;751;;37;;;750,0409003;1000,054534;;;-2,342926868;;0,4461;-0,012272831;;0,6;0,35
04.12.2025 13:45;;17;748,2;747,4;;11,4;;;746,7595545;995,679406;;;-2,33232821;;0,4441;-0,012217312;;0,8;0,46
05.12.2025;(*Zugang zu Daten nicht m├Âglich);NAN;NAN;NAN;;5,7;;;NAN;NAN;;;NAN;;NAN;NAN;;NAN;NAN
Wochenende;;;;;;;;;;;;;;;;;;;
Wochenende;;;;;;;;;;;;;;;;;;;
08.12.2025 12:00;;18;752,1;751,2;;9,6;;;750,5217489;1000,695665;;;-2,472272246;;0,4463;-0,012278902;;0,9;0,46
09.12.2025 12:00;;18;752,7;751,7;;37;;;751,2201668;1001,626889;;;-2,474244542;;0,4467;-0,012288698;;1;0,56
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Sichtweite: Landmarken (Entfernung Luflinie vom Geo 1);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Turm Universit├ñtsklinikum (links):;;0,926 km;;;;;;;;;;;;;;;;;
St. Paulus Dom:;;2,141 km;;;;;;;;;;;;;;;;;
Lambertikirche: ;;2,391 km;;;;;;;;;;;;;;;;;
Sender Nottuln;;16,210 km;;;;;;;;;;;;;;;;;
Kraftwerk Ibbenb├╝ren:;;36,685 km;;;;;;;;;;;;;;;;;
Teutoburger Wald:;;41 km;;;;;;;;;;;;;;;;;
Fernsehturm Bielefeld:;;61 km;;;;;;;;;;;;;;;;;
