Zeitstempel;ID;Gesamtniederschlag [mm];Durschnittl. Lufttemperatur [°C];Max. Lufttemperatur [°C];Min. Lufttemperatur [°C];Durschnittl. rel. Luftfeuchtigkeit [%];Max. rel. Luftfeuchtigkeit [%];Min. rel. Luftfeuchtigkeit [%];Durchschn. Luftdruck [hPa];Einfallende kurzwellige Strahlung [W/m2];Reflektierte kurzwellige Strahlung [W/m2];Einfallende langwellige Strahlung [W/m2];Ausgehende langwellige Strahlung [W/m2];Durchschnittl. Temperatur vom Strahlungssensor [°C];Windgeschwindigkeit Ultraschallanemometer [m/s];Windrichtung Ultraschallanemometer [°];Standardabweichung Windrichtung Ultraschallanemometer [°];Windgeschwindigkeit Propelleranemometer [m/s];Windrichtung Propelleranemometer [°];Standardabweichung Windrichtung Propelleranemometer [°];Niedrigste Batteriespannung [Volt];Min. Temperatur Logger Außenhülle [°C];Max. Temperatur Logger Außenhülle [°C]
TOA5;18325;CR1000X;18325;CR1000X.Std.04.02;CPU:Klimatologie_Uebung_WiSe2526_Startscript_20251117.CR1X;5473;MeteoData;;;;;;;;;;;;;;;;
TIMESTAMP;RECORD;Rain_Tot;AirTC_Avg;AirTC_Max;AirTC_Min;RH_Avg;RH_Max;RH_Min;AirP_Avg;SWup_Avg;SWdn_Avg;LWup_Avg;LWdn_Avg;CNR4TC_Avg;WS_USA;WindDir_USA;WindDir_SD_USA;WS_Prop;WindDir_Prop;WindDir_SD_Prop;BattV_Min;PTemp_Min;PTemp_Max
TS;RN;MM;Deg C;Deg C;Deg C;%;%;%;hPa;W/m2;W/m2;W/m2;W/m2;;m/s;Deg;Deg;m/s;Deg;Deg;Volts;Deg C;Deg C
;;Tot;Avg;Max;Min;Avg;Max;Min;Avg;Avg;Avg;Avg;Avg;Avg;WVc;WVc;WVc;WVc;WVc;WVc;Min;Min;Max
18.11.2025 12:40;14;0;4,155;4,193;4,118;98,3;98,5;98,2;1001,511;53,63;11,43;323,3;338,3;4,265;4,164;196,78;10,08;3,901;196,38;11,99;12,96;4,647;4,673
18.11.2025 12:50;15;0;4,225;4,28;4,132;98,1;98,2;98;1009,519;48,98;9,43;324,7;339,8;4,227;3,471;200,39;11,88;3,225;201,08;12,67;12,73;4,596;4,646
18.11.2025 13:00;16;0,4;4,239;4,298;4,163;98,1;98,3;98;1009,457;57,05;10,65;325,1;339,9;4,161;3,12;197,07;13,01;2,911;197,58;14,65;12,54;4,592;4,665
18.11.2025 13:10;17;0,1;4,27;4,337;4,226;98,2;98,4;98;1009,286;75,02;14,18;325,2;339,9;4,14;3,286;190,63;12,69;3,047;190,78;14,02;12,57;4,665;4,795
18.11.2025 13:20;18;0;4,329;4,456;4,23;97,4;98;96,9;1009,13;124,5;26,95;319,9;340,2;4,22;4,107;195,53;12,28;3,913;195,48;14,15;12,67;4,784;4,917
18.11.2025 13:30;19;0;4,466;4,544;4,312;96,8;97,1;96,5;1008,998;120,4;24,79;317,5;341,8;4,399;3,425;192,05;14,65;3,181;192,08;15,71;14,24;4,918;5,026
18.11.2025 13:40;20;0;4,502;4,572;4,431;96,4;96,7;95,9;1008,808;98,9;18,99;317,5;341,5;4,449;3,484;194,77;13,94;3,278;195,18;15,29;14,23;5,027;5,103
18.11.2025 13:50;21;0;4,464;4,522;4,375;95,3;96;94,9;1008,734;82,7;15,64;319,6;342,7;4,393;4,111;200,01;12,19;3,974;200,08;13,42;14,22;5,038;5,1
18.11.2025 14:00;22;0;4,494;4,585;4,396;95,3;95,9;94,8;1008,566;87,3;18,29;319,5;341,6;4,385;3,213;190;16,33;2,95;190,78;16,49;14,23;5,074;5,305
18.11.2025 14:10;23;0;4,485;4,551;4,381;95,5;96;95,2;1008,55;74,73;17,29;321,5;339,4;4,416;3,408;187,4;13,62;3,208;188,08;14,32;14,24;5,306;5,412
18.11.2025 14:20;24;0;4,408;4,475;4,288;95,2;95,9;94,8;1008,429;40,81;9,72;327;337,9;4,267;3,769;193,29;14,74;3,558;194,18;15,7;14,24;5,393;5,414
18.11.2025 14:30;25;0;4,314;4,417;4,229;95,6;95,9;95,2;1008,292;24,19;6,287;328,4;337,1;4,058;3,548;202,3;12,41;3,321;202,78;14,13;14,24;5,31;5,393
18.11.2025 14:40;26;0;4,306;4,371;4,253;96,4;96,7;95,9;1008,106;23,38;6,228;329,5;337,2;4,002;2,91;198,11;13,61;2,721;198,28;14,6;14,24;5,233;5,31
18.11.2025 14:50;27;0;4,403;4,506;4,316;96,4;96,6;96,1;1007,957;19,63;5,261;329,6;337,3;4,067;2,716;198,39;17;2,497;199,58;17,22;14,23;5,194;5,233
18.11.2025 15:00;28;0,1;4,518;4,59;4,441;95,8;96,3;95,6;1007,799;33,87;8,66;328,7;337,9;4,179;3,269;195,99;12,26;3,082;196,78;13,23;14,24;5,185;5,194
18.11.2025 15:10;29;0;4,613;4,72;4,516;96,1;96,5;95,7;1007,687;38,87;10,15;327,2;338,6;4,267;2,603;200,47;15,31;2,355;200,78;16,47;14,24;5,185;5,209
18.11.2025 15:20;30;0;4,721;4,823;4,623;95,5;96,3;94,8;1007,475;67,43;17,13;312,7;338,7;4,418;2,93;193,75;13,99;2,777;195,08;14,99;14,24;5,209;5,254
18.11.2025 15:30;31;0;4,795;4,88;4,727;94,6;95,1;94;1007,291;67,2;17,43;299,3;337,5;4,464;2,944;196,15;15;2,762;197,18;16;14,24;5,254;5,28
18.11.2025 15:40;32;0;4,806;4,858;4,721;93,6;94,3;93,1;1007,119;66,6;17,67;296,7;337,1;4,448;3,557;192,01;14,56;3,338;192,68;15,77;14,24;5,276;5,281
18.11.2025 15:50;33;0;4,846;4,901;4,781;93,2;93,5;92,9;1006,978;60,2;16,52;295,4;336,4;4,447;2,656;194,27;12,46;2,463;195,18;13,25;14,25;5,265;5,276
18.11.2025 16:00;34;0;4,815;4,861;4,76;92,8;93,5;92;1006,835;41,27;11,84;294;335,3;4,382;3,328;190,07;10,72;3,148;191,28;12,12;14,27;5,236;5,265
18.11.2025 16:10;35;0;4,738;4,841;4,607;92,6;93,2;91,8;1006,72;26,23;8,04;291,6;333,9;4,266;2,643;184,7;13,46;2,433;185,88;14,64;14,28;5,186;5,236
18.11.2025 16:20;36;0;4,633;4,687;4,568;93,3;93,6;93,1;1006,646;13,75;4,987;296,6;333,3;4,114;2,96;188,6;12,74;2,742;189,88;14,04;14,28;5,111;5,186
18.11.2025 16:30;37;0;4,642;4,729;4,562;93,9;94;93,6;1006,616;6,739;3,107;318,3;335,3;4,159;3,354;187;13,1;3,109;187,88;13,49;14,27;5,078;5,111
18.11.2025 16:40;38;0;4,692;4,743;4,619;94,1;94,3;93,8;1006,519;0,488;1,269;323,8;335,8;4,25;2,864;197,72;14,5;2,601;198,98;15,83;14,28;5,079;5,103
18.11.2025 16:50;39;0;4,73;4,78;4,662;94,1;94,4;93,9;1006,294;0;0,918;325,3;336,4;4,327;2,203;200,53;14,51;1,971;200,88;15,2;14,28;5,103;5,161
18.11.2025 17:00;40;0;4,734;4,805;4,664;94,2;94,5;93,8;1006,19;0;0,747;326,1;336,3;4,332;2,242;196,85;16,38;2,056;197,38;16,44;14,27;5,162;5,214
18.11.2025 17:10;41;0;4,753;4,814;4,696;94,2;94,6;93,9;1006,078;0;0,71;322,6;336;4,346;2,124;194,99;17,06;1,941;196,08;16,46;14,27;5,214;5,256
18.11.2025 17:20;42;0;4,764;4,833;4,695;93,9;94,7;93,4;1005,94;0;1,044;324,2;336,1;4,298;2,905;195,93;16,16;2,701;196,88;16,8;14,28;5,256;5,268
18.11.2025 17:30;43;0,1;4,7;4,813;4,53;94,7;95,7;93,7;1005,998;0;1,133;328,9;336,5;4,228;2,371;213,79;14,36;2,122;214,28;14,99;14,28;5,268;5,275
18.11.2025 17:40;44;0,2;4,256;4,575;3,685;93,8;95,4;92,5;1006,104;0;1,165;327,1;334,9;3,933;4,141;215,89;12,25;3,928;216,78;14,78;14,27;5,227;5,275
18.11.2025 17:50;45;0,1;3,425;3,718;3,211;93,4;93,9;92,8;1005,976;0;0,889;322,1;331,8;3,199;3,314;213,97;13,78;3,033;214,88;16,14;14,28;5,028;5,226
18.11.2025 18:00;46;0;3,195;3,263;3,107;93,3;93,8;93,1;1005,889;0;1,486;322,1;330,6;2,78;4,079;210,51;10,9;3,839;211,28;12,98;14,28;4,749;5,028
18.11.2025 18:10;47;0,1;3,19;3,33;3,086;93,3;93,9;92;1005,641;0;1,813;320,2;330,2;2,651;3,519;207,24;12,43;3,199;208,28;14,77;14,28;4,503;4,749
18.11.2025 18:20;48;0;3,388;3,474;3,313;91,4;92;90,7;1005,582;0;2,193;318;330,3;2,704;3,095;218,71;13,53;2,868;220,28;15,88;14,31;4,333;4,503
18.11.2025 18:30;49;0,2;3,345;3,435;3,199;92,1;93,5;91,1;1005,641;0;1,914;323,1;330,5;2,758;3,676;215,84;14,82;3,42;217,38;16,86;14,31;4,218;4,333
18.11.2025 18:40;50;0,3;3,147;3,26;3,056;94,6;95,1;93,5;1005,564;0;1,641;323,3;330,2;2,664;3,42;228,62;15,74;3,179;231,08;17,51;14,3;4,124;4,218
18.11.2025 18:50;51;0,1;3,32;3,393;3,196;94,8;95;94,4;1005,38;0;1,943;323,1;330,8;2,729;3,257;220,77;13,74;2,975;222,68;16,2;14,31;4,066;4,124
18.11.2025 19:00;52;0,1;3,243;3,349;3,12;95,9;96,8;95;1005,308;0;1,479;322,2;330,7;2,762;3,372;212,54;9,99;3,075;213,68;12,33;14,31;4,04;4,066
18.11.2025 19:10;53;0,1;2,986;3,174;2,831;97,2;97,7;96,8;1005,161;0;1,17;316,8;329,7;2,626;3,124;212,8;12,96;2,782;213,88;15,43;14,31;3,995;4,04
18.11.2025 19:20;54;0;2,799;2,914;2,691;97,7;98,1;97,5;1004,985;0;1,193;311,8;328,5;2,397;3,274;196,17;13,4;3,009;197,18;14,77;14,31;3,894;3,994
18.11.2025 19:30;55;0;2,68;2,733;2,624;98,2;98,5;97,9;1005,076;0;1,158;313,2;328,2;2,261;2,702;193,61;12,45;2,337;194,28;13,6;14,31;3,784;3,894
18.11.2025 19:40;56;0;2,679;2,732;2,635;98,6;98,8;98,4;1004,978;0;1,249;313,4;328,3;2,225;2,453;195,1;16,07;2,228;196,88;16,9;14,31;3,689;3,784
18.11.2025 19:50;57;0;2,693;2,738;2,638;98;98,4;97,6;1004,944;0;1,377;311;327,9;2,228;2,686;200,44;12,79;2,453;201,28;14,75;14,31;3,611;3,689
18.11.2025 20:00;58;0;2,684;2,728;2,64;97,1;97,6;96,6;1004,89;0;1,456;307,8;327,4;2,193;2,509;205,51;13,66;2,25;206,38;15,92;14,32;3,537;3,61
18.11.2025 20:10;59;0;2,661;2,727;2,595;96,6;96,8;96,5;1004,893;0;1,565;295,2;325,8;2,101;2,389;197,85;12,56;2,174;199,18;12,79;14,31;3,448;3,536
18.11.2025 20:20;60;0;2,533;2,663;2,419;96,7;97;96,5;1004,861;0;1,732;274,2;322,5;1,885;2,248;200,73;11,18;2,047;201,58;12;14,35;3,308;3,448
